資料集識別碼,資料集名稱,提供機關,資料集描述,主要欄位說明,更新頻率,授權方式,備註,新增日期
113909,南投縣政府109年舉辦大型活動調查表,南投縣政府,南投縣政府109年舉辦大型活動調查表，活動日期時間如有異動，以主辦單位規劃為主,"月份,活動名稱,內容摘要,活動時間,活動地點,主辦單位,創新內容,備註(縣長出席日期、時間)",每日,政府資料開放授權條款-第1版,,20191231
113897,不動產實價登錄資訊-買賣案件-石門區,新北市政府地政局,1. 不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。 2. 本資料集為每10日更新一次。-石門區,district(鄉鎮市區)、rps01(交易標的)、rps02(土地區段位置或建物區門牌)、rps03(土地移轉總面積平方公尺)、rps04(都市土地使用分區)、rps05(非都市土地使用分區)、rps06(非都市土地使用編定)、rps07(交易年月)、rps08(交易筆棟數)、rps09(移轉層次)、rps10(總樓層數)、rps11(建物型態)、rps12(主要用途)、rps13(主要建材)、rps14(建築完成年月)、rps15(建物移轉總面積平方公尺)、rps16(建物現況格局-房)、rps17(建物現況格局-廳)、rps18(建物現況格局-衛)、rps19(建物現況格局-隔間)、rps20(有無管理組織)、rps21(總價元)、rps22(單價每平方公尺)、rps23(車位類別)、rps24(車位移轉總面積平方公尺)、rps25(車位總價元)、rps26(備註)、rps27(編號),每月,政府資料開放授權條款-第1版,依品質檢測結果更新主要欄位說明,20191231
113899,不動產實價登錄資訊-買賣案件-平溪區,新北市政府地政局,1. 不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。 2. 本資料集為每10日更新一次。-平溪區,district(鄉鎮市區)、rps01(交易標的)、rps02(土地區段位置或建物區門牌)、rps03(土地移轉總面積平方公尺)、rps04(都市土地使用分區)、rps05(非都市土地使用分區)、rps06(非都市土地使用編定)、rps07(交易年月)、rps08(交易筆棟數)、rps09(移轉層次)、rps10(總樓層數)、rps11(建物型態)、rps12(主要用途)、rps13(主要建材)、rps14(建築完成年月)、rps15(建物移轉總面積平方公尺)、rps16(建物現況格局-房)、rps17(建物現況格局-廳)、rps18(建物現況格局-衛)、rps19(建物現況格局-隔間)、rps20(有無管理組織)、rps21(總價元)、rps22(單價每平方公尺)、rps23(車位類別)、rps24(車位移轉總面積平方公尺)、rps25(車位總價元)、rps26(備註)、rps27(編號),每月,政府資料開放授權條款-第1版,依品質檢測結果更新主要欄位說明,20191231
113900,不動產實價登錄資訊-租賃案件-瑞芳區,新北市政府地政局,1. 不動產租賃案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。 2. 本資料集為每10日更新一次。-瑞芳區,district(鄉鎮市區)、rps01(租賃標的)、rps02(土地區段位置或建物區門牌)、rps03(租賃總面積平方公尺)、rps04(都市土地使用分區)、rps05(非都市土地使用分區)、rps06(非都市土地使用編定)、rps07(租賃年月)、rps08(租賃筆棟數)、rps09(租賃層次)、rps10(總樓層數)、rps11(建物型態)、rps12(主要用途)、rps13(主要建材)、rps14(建築完成年月)、rps15(租賃總面積平方公尺)、rps16(建物現況格局-房)、rps17(建物現況格局-廳)、rps18(建物現況格局-衛)、rps19(建物現況格局-隔間)、rps20(有無管理組織)、rps21(有無附傢俱)、rps22(總額元)、rps23(單價每平方公尺)、rps24(車位類別)、rps25(租賃總面積平方公尺)、rps26(租金總額元)、rps27(備註)、rps28(編號),每月,政府資料開放授權條款-第1版,依品質檢測結果更新主要欄位說明,20191231
113910,107年度新竹市稅務局全功能服務櫃臺本轄代發他機關作業統計表,新竹市政府,提供107年度新竹市稅務局全功能服務櫃臺本轄代發他機關作業統計表,單位、全局(處)、合計,每日,政府資料開放授權條款-第1版,提供107年度新竹市稅務局全功能服務櫃臺本轄代發他機關作業統計表,20191231
113911,107年度新竹市稅務局全功能服務櫃臺他轄代發本機關作業統計表,新竹市政府,提供107年度新竹市稅務局全功能服務櫃臺他轄代發本機關作業統計表,服務項目、跨機關、合計,每日,政府資料開放授權條款-第1版,提供107年度新竹市稅務局全功能服務櫃臺他轄代發本機關作業統計表,20191231
113912,新竹市各類房屋折舊標準表(適用於105年6月30日以前新、增、改建完成之房屋),新竹市政府,新竹市各類房屋折舊標準查詢(適用於105年6月30日以前新、增、改建完成之房屋),構造別、代號、折舊率、耐用年數、殘值率,每日,政府資料開放授權條款-第1版,新竹市各類房屋折舊標準查詢(適用於105年6月30日以前新、增、改建完成之房屋),20191231
113913,新竹市房屋標準單價表(適用105年7月1日起之新、增、改建房屋),新竹市政府,新竹市房屋標準單價資料查詢(適用105年7月1日起之新、增、改建房屋),構造別、總層數、第一類(各種用途)、第二類(各種用途)、第三類(各種用途)、第四類(各種用途),每日,政府資料開放授權條款-第1版,新竹市房屋標準單價資料查詢(適用105年7月1日起之新、增、改建房屋),20191231
113890,107年通過餐飲衛生管理分級評核制度名單,澎湖縣政府,107年通過餐飲衛生管理分級評核制度名單,編號、食品業者登錄字號、店名、電話、地址、評核等級,每日,政府資料開放授權條款-第1版,無,20191231
113908,民意調查結果清單,臺北市政府研究發展考核委員會,民意調查結果清單,調查日期、市政建設議題、電子檔連結,每季,政府資料開放授權條款-第1版,,20191231
113821,苗栗縣108年地價稅徵績-徵期結束,苗栗縣政府稅務局,苗栗縣108年地價稅徵績-徵期結束,,不更新,政府資料開放授權條款-第1版,,20191231
113822,苗栗縣108年度地價稅納稅義務人性別統計及比例分析,苗栗縣政府稅務局,苗栗縣108年度地價稅納稅義務人性別統計及比例分析,行政區別、戶 數（戶）男 性、戶 數（戶）女 性、面 積（平方公尺）男 性、面 積（平方公尺）女 性、地價（元）男 性、地價（元）女 性、查定稅額（元）男 性、查定稅額（元）女 性,不更新,政府資料開放授權條款-第1版,,20191231
113823,苗栗縣108年下期使用牌照稅徵績-滯納期滿,苗栗縣政府稅務局,苗栗縣108年下期使用牌照稅徵績-滯納期滿,,不更新,政府資料開放授權條款-第1版,,20191231
